code,row,col,x,y
E01017453,11,7,505415.5403961797,252674.47820311604
E01017454,10,8,505769.28668180754,252462.34557382955
E01017455,10,7,505006.0018700357,252164.70692554314
E01017456,9,8,505717.8874081991,251621.23854959753
E01017457,9,7,505025.85121065896,251634.26441018618
E01017458,11,8,505716.2718954018,252925.03525875884
E01017459,6,2,499947.57715961663,250572.97851549936
E01017460,9,4,502524.36616354913,251258.4391908663
E01017462,7,2,499826.29763735563,251402.49132202673
E01017463,8,3,500865.58664379345,251959.59856692402
E01017464,10,3,499485.95132701733,256710.71212534752
E01017465,8,2,497125.5387484085,254265.36981049218
E01017466,6,6,504608.7028586429,249576.38658970568
E01017467,6,9,505855.76994701836,249858.26884539318
E01017468,5,10,506228.5817030786,249685.2642721549
E01017470,6,10,506324.65248643735,250070.210372651
E01017471,7,6,504349.4979166256,249923.21852473094
E01017472,4,8,505356.60653085273,248343.29777988265
E01017474,4,7,504792.30870455736,248534.85188236565
E01017475,3,7,504553.48713667196,248027.81497461972
E01017476,3,8,505508.919979801,247918.58381250684
E01017477,3,9,505515.89963519404,247615.50586939056
E01017478,11,6,503781.46520924306,258147.05616969435
E01017479,10,6,504071.2303116842,252790.85815248816
E01017480,10,4,502160.28901359945,253534.90268075874
E01017481,10,5,503574.88948565983,254254.9216782699
E01017482,8,8,505349.17717997485,250938.89106481976
E01017483,7,10,506355.05719120824,250545.2470709874
E01017484,7,8,505232.271942744,250340.81390187694
E01017485,7,9,505797.3223558072,250379.78063284393
E01017487,2,10,506991.9488710722,247098.22007930087
E01017488,8,10,506944.031312114,251142.72424953297
E01017489,8,11,507346.18047423294,251132.63043764976
E01017490,7,12,507878.220436449,250985.72806080699
E01017491,7,11,507154.3351511863,250711.37152107636
E01017492,9,11,507883.9938632251,251809.05951592204
E01017493,8,12,508549.27330647846,251462.7413368397
E01017495,7,13,512333.7231760158,252839.4085921594
E01017496,5,13,511288.0267556482,248447.1705979798
E01017497,8,7,504759.9730167822,250634.93956725812
E01017498,9,6,504522.88000583503,250960.5012490452
E01017499,9,5,504012.103063208,251357.09304196862
E01017500,8,6,504390.2153085343,250566.0001293917
E01017501,8,5,504197.37396256736,250271.22622484202
E01017502,7,7,504740.9084493441,250258.8199145318
E01017503,11,4,494650.3708261353,262775.67221764475
E01017504,9,2,494612.6021183102,257952.0602631956
E01017505,3,5,503204.5009110641,247550.9159610263
E01017506,4,6,504049.7019042208,248252.43417121962
E01017507,3,6,504039.47518345603,247759.19250253585
E01017508,4,5,503601.2460440677,247836.34660377158
E01017509,5,4,503006.49004704074,248123.85083119152
