code,row,col,x,y
E02003616,5,4,504043.40142868366,263776.2683460214
E02003617,4,1,496454.0182708452,255411.05417616962
E02003618,5,3,503292.2417253718,256759.62467113914
E02003619,4,6,511873.4513620208,255409.92106433422
E02003620,4,4,505387.68887417635,252129.61164478707
E02003621,4,5,506681.1509788898,251945.3447657287
E02003622,3,6,507732.3095237992,251207.6189291576
E02003623,4,2,501477.2055417059,250852.27413048994
E02003624,3,4,505607.4792495147,250695.08127374007
E02003625,4,3,504184.5985409566,251028.8279382747
E02003626,3,5,507642.955799017,249862.41065636766
E02003627,3,3,505336.47460258205,249790.7183896165
E02003628,3,2,503535.68902807607,249572.95897706217
E02003629,2,5,506853.87812903617,248713.2853431255
E02003630,2,4,505025.166460505,248296.76221050325
E02003631,2,2,503097.3080413911,248290.21397957273
E02003632,2,3,503726.4268535654,247867.1456201065
E02003633,1,3,502789.2607617653,246196.36785711613
E02003635,1,2,500774.3108800975,244329.1173549138
E02007010,1,5,508427.8978414546,245235.7719250462
E02007011,1,4,505115.3935938207,245763.6830706718
