code,row,col,x,y
E02002183,9,5,409213.8860928949,447971.49042794365
E02002184,9,6,411880.7157511275,448064.3429240522
E02002185,9,8,416267.8980343662,446327.12500969815
E02002187,9,7,415282.881809199,444684.20081878174
E02002188,8,5,409070.3770473155,443412.1362940986
E02002189,8,4,405349.6080272717,442418.90715697216
E02002190,7,4,407426.6704483011,440867.8955862532
E02002191,7,3,404946.6905776717,441073.1649598446
E02002192,8,6,412146.95508545235,441758.09174671175
E02002193,5,3,405953.6536482501,439515.4045158618
E02002194,6,3,404693.23801453813,439698.86206295696
E02002195,8,7,414956.1973161058,440196.8170487641
E02002196,6,2,402693.4605561798,440448.4782757008
E02002197,7,5,409341.04539108905,439188.59890621295
E02002198,7,7,415661.05302384606,438877.16833043884
E02002199,8,8,418451.00294721447,439330.3469927463
E02002200,7,6,413020.2587039234,438209.2685511968
E02002201,7,9,417868.34097229893,437448.3126065997
E02002202,6,6,414509.5829014056,437359.1545410766
E02002203,7,8,415854.6181975327,437240.97657848604
E02002204,6,4,410338.53717630624,437091.56378884066
E02002205,5,2,401018.41334016295,436517.54939867277
E02002206,6,8,416628.26319606544,436437.4757985811
E02002207,6,7,414790.6055665853,436283.1580376563
E02002208,6,9,418037.72445354034,436358.90821367427
E02002209,6,10,419032.87118618167,435936.5194966717
E02002210,5,8,416866.0035515162,435455.8418373113
E02002211,6,5,413791.9517325496,435643.8219838261
E02002212,5,5,412321.0207736926,435338.7725665832
E02002213,4,3,406683.9627844156,435178.92745381
E02002214,5,10,418181.03811648226,435202.23491061915
E02002215,5,6,413968.4263174919,434634.37449393404
E02002216,5,7,415428.6851632683,435021.22600182274
E02002217,5,9,417334.4666614354,434431.6642100441
E02002218,5,4,411274.0852899259,434634.91542314284
E02002219,4,5,413792.49285611435,434032.1595677186
E02002220,4,10,419018.35313890525,434081.0689825474
E02002222,3,5,412840.10533827863,433516.2681759631
E02002223,4,6,414475.2866853065,433282.6334949164
E02002224,4,9,418521.36819345073,433362.756023354
E02002225,4,4,409608.84014546,433039.15328209446
E02002226,3,7,415037.63875753083,432434.7369656354
E02002227,3,9,417231.7461316997,432352.6499040012
E02002228,3,10,418423.53592957574,432030.3318901991
E02002229,3,4,411714.41912128613,431772.82666362723
E02002230,3,8,416080.754247007,431845.4550944372
E02002231,2,5,412995.56902040035,431328.76008254726
E02002232,3,6,414179.5520706129,431276.6637080794
E02002233,2,7,415298.31196092046,431323.0614256857
E02002234,2,9,419272.3947439642,431119.8796732811
E02002235,2,8,417008.2367622466,430866.05514807004
E02002236,2,6,414702.11703021295,430434.5894871407
E02002237,1,5,413391.4330212345,430383.92632873077
E02002238,1,7,415574.8081264459,430130.37804112735
E02002239,2,10,420229.7758718108,430344.5954258079
E02002240,2,4,410045.5199381117,429899.3314534705
E02002241,1,6,414151.74293969607,429191.78884870897
E02002242,1,8,416221.7855216785,428930.89400296164
E02002243,0,7,415269.0230197219,427274.7854367564
E02006945,9,4,404666.2196914042,446308.24990326655
E02006946,8,3,403692.18178764754,446157.3845809765
E02006947,4,8,416713.51182951464,433828.6189703706
E02006948,4,7,415956.0451508661,433486.2819145305
