code,row,col,x,y
E01017943,7,7,546545.9439899485,259098.24333585525
E01017944,8,8,547856.5339218309,259863.94317385927
E01017945,8,7,547211.9193289063,259374.0720008158
E01017946,7,8,547614.6792181365,259419.03614091402
E01017947,6,9,548210.5716143125,258437.33277185907
E01017948,7,9,548385.5279928915,259615.19149517632
E01017949,7,2,544465.2288427182,259851.44694912058
E01017950,7,3,544695.1107790908,259375.30885796985
E01017951,10,2,544276.132834,260897.3997278932
E01017952,10,3,544802.2536824747,260974.8623113767
E01017953,9,3,544623.8753832108,260330.97334778064
E01017954,9,4,545089.8296129529,260651.14056799488
E01017955,9,2,543994.6851439086,260506.0299077789
E01017959,3,9,548344.5136594491,256171.57374350133
E01017960,2,9,548795.118602363,255584.04448086605
E01017961,2,8,548024.6202792465,256453.31898622567
E01017962,5,9,548579.6260765183,257455.75603095174
E01017963,4,10,549099.8704079143,256985.84618944695
E01017964,4,9,548592.6640020382,256828.66516369072
E01017965,4,7,546839.0958448249,257176.68025390862
E01017967,4,8,547710.5900133852,257130.46256604113
E01017968,3,7,547208.6458346331,256713.18155029236
E01017969,3,8,547646.1307656716,256572.48566636528
E01017971,10,7,547359.0791490426,261308.63168547273
E01017972,9,8,547160.38557707,260265.4404917792
E01017973,8,5,546076.9882735026,260051.35884889046
E01017974,9,7,546531.9030810234,260385.49408247834
E01017975,10,5,545730.111134565,261062.66562816812
E01017976,9,6,546396.4338509897,260984.43211479095
E01017977,10,6,546038.6192266303,260996.56199377246
E01017978,10,4,545305.6743187957,260997.54549279725
E01017979,11,4,545347.7802743212,261488.8471447491
E01017980,11,5,545868.0553481671,261515.49644420197
E01017983,6,4,545714.6216500078,258877.233332107
E01017985,4,2,544408.0719897705,257510.7570933879
E01017987,5,5,546077.5282575244,257575.7716889042
E01017988,5,4,545851.5215370102,257941.48721826472
E01017989,6,6,546315.7395093214,258665.49022666118
E01017990,6,7,546481.2466716452,258294.6890184285
E01017991,6,5,546057.8702410785,258244.30416350684
E01017992,2,6,547041.5823348163,256080.6195394127
E01017994,2,7,547624.0516733581,256011.79278830983
E01017995,1,7,547069.5295120177,255040.57740296112
E01017996,3,5,546351.9421435334,256389.58771975318
E01017997,6,8,547082.7711253854,258422.33580047905
E01017998,5,6,546630.8596791032,257993.1259352281
E01017999,5,8,547470.6315569702,257715.34550098047
E01018000,5,7,546875.326955001,257817.98102094198
E01018001,4,6,546678.7413496311,257545.23783990406
E01018005,4,3,545263.1653638816,257401.42745815715
E01018006,9,5,545837.5232486081,260380.72781395254
E01018007,8,4,545288.5597394102,260150.28069362833
E01018008,7,4,545724.4604350785,259667.51136702625
E01018009,8,3,545058.4764882833,259627.51051315243
E01018010,7,5,545777.5629286873,259332.3013646519
E01032792,7,6,546337.096383579,259496.8529106715
E01032794,3,3,544824.5317139083,256377.4462785521
E01032802,8,6,546387.8517101483,259859.8802277834
E01035511,8,2,543552.7545130163,260296.2284648369
E01035512,8,1,542637.8118465889,259944.3306797321
E01035513,7,1,543057.4465003508,259649.22194505951
E01035514,6,2,544304.6164966687,259051.96894998776
E01035515,6,3,545095.6774435817,258851.7479757608
E01035516,5,2,543248.9768112254,258340.3095804782
E01035517,5,3,545217.9328351906,258119.25542353155
E01035518,4,5,546322.0446669119,256960.53760635035
E01035519,3,6,546724.7376325907,256736.00799872843
E01035520,2,5,546311.7197901721,255900.89414147285
E01035521,1,6,546592.5544719375,255538.50465418436
E01035522,4,4,545930.3303552886,257080.77363299474
E01035523,3,4,545713.6663412794,256782.97440249834
E01035524,2,4,545390.1306752915,255438.81334006652
E01035525,2,3,544874.0204124725,255261.91077701238
E01035526,2,2,544145.5415991546,255218.74208174468
E01035527,1,5,545568.49799534,254713.00016315546
E01035528,1,3,544906.5026718883,254701.4227220305
E01035529,1,4,545106.9154654928,254332.99643122355
E01035530,0,3,544442.1731365965,253911.50548999925
