code,row,col,x,y
E01002694,3,6,530983.8299310403,183548.65155215445
E01002695,2,6,531076.8607658546,183293.28955094304
E01002696,2,7,531317.1992229952,183520.66575058355
E01002697,2,5,530807.2100270321,183284.18839494695
E01002698,5,6,531165.9915666303,184419.17049738189
E01002699,4,7,531308.5194227041,184151.74522898122
E01002700,4,6,531072.5956582052,183955.99175290804
E01002701,1,11,532564.6710269584,182588.99404547468
E01002702,1,10,532193.9064412304,182706.2204574693
E01002703,0,9,531921.053874386,182543.11217117365
E01002704,0,12,532694.647138052,182166.05615413847
E01002706,0,11,532310.3039604605,182349.06449043288
E01002707,1,9,531778.5117549915,182907.57716039434
E01002708,5,4,530332.1875961741,184323.84534144626
E01002709,3,4,530442.3865951624,183833.5859430376
E01002710,3,5,530603.9658523872,183625.37275714902
E01002711,2,4,530488.2370194435,183211.5734442699
E01002712,5,5,530826.9840859963,184459.75380700454
E01002713,6,5,530691.7253973478,184720.8154421345
E01002714,4,5,530810.5189263552,184068.1025392108
E01002715,4,4,530600.1608548242,184061.5843880267
E01002716,6,11,532725.8865470325,184663.77361384014
E01002717,6,9,532283.0752108173,184726.16901659002
E01002718,5,11,532780.41871719,184356.80998712123
E01002719,5,9,532048.0563230257,184495.29775215054
E01002720,6,10,532399.3320826,184429.7209909208
E01002721,4,11,532695.0809636891,184053.5841781585
E01002722,5,10,532466.79566371,184149.95597977375
E01002723,1,8,531636.0130788082,182676.7222699712
E01002724,0,7,531543.8234347024,182073.7629528291
E01002725,1,7,531508.8719256963,182550.23589730647
E01002726,0,6,531201.6974377463,182457.49412286843
E01002727,1,6,531377.4988622945,182920.84385266033
E01002728,1,5,530892.2322249581,182971.93832322367
E01002729,0,5,531015.3477947114,182752.95713175787
E01002730,10,6,530819.6782659296,186145.2424871356
E01002732,11,6,531107.2039798376,186311.70654456288
E01002733,11,4,530390.2399495159,186394.1165952393
E01002734,12,7,531200.4507903846,186732.88433417652
E01002735,13,6,531046.7744066527,186997.7292682275
E01002736,12,6,530911.3111003608,186732.77292078745
E01002737,12,5,530720.3710681417,186612.4974817274
E01002738,8,9,531979.6004066558,185271.26689804668
E01002739,7,8,531463.8635993011,185277.27518915213
E01002740,6,8,531645.2542365174,184959.76967376872
E01002741,10,10,532253.9803704649,186180.24437964853
E01002742,11,9,532027.8748462765,186175.51462237415
E01002743,9,10,532288.9003787643,185908.24174858158
E01002744,9,9,532107.0950197431,185679.28211500696
E01002745,8,8,531673.8309651142,185589.34551574805
E01002747,11,8,531697.1454599774,186418.45479886807
E01002748,11,7,531389.7888984359,186393.20792648208
E01002749,10,9,531803.5538693051,186085.57318337465
E01002751,9,6,531004.4208518428,185910.30618181918
E01002752,9,8,531775.8459766916,185799.9585286475
E01002753,13,2,529867.052907738,186988.28845418073
E01002754,14,1,529362.7235926375,187282.38103701005
E01002755,15,3,530057.6479560469,187715.68603128873
E01002756,15,4,530301.3077263471,187708.1723724243
E01002757,15,2,529637.7876474455,187600.01198662422
E01002758,14,3,529945.3073924291,187439.76223662548
E01002759,14,2,529609.7416382398,187299.53928876444
E01002760,13,3,529873.785770154,187163.64469468096
E01002762,8,4,530493.7244625353,185407.1388233953
E01002763,9,4,530402.3603273773,185726.13068482289
E01002764,7,4,530134.3782519832,185227.17946897837
E01002765,7,5,530530.6342402111,185001.96756051065
E01002766,6,4,530110.7886734596,184852.84919511917
E01002767,9,5,530745.8349937128,185536.2690624683
E01002768,10,1,529210.5227301538,186052.22773647844
E01002769,10,2,529563.4427231795,186211.46856459588
E01002770,13,1,529175.6333628398,186960.79312516158
E01002771,11,1,529106.3324795391,186428.03646367247
E01002772,12,2,529609.8149780264,186918.63907885086
E01002773,12,1,529040.4281769444,186762.7882030023
E01002774,11,2,529680.240286407,186598.0968592599
E01002775,7,9,532277.5096090826,184981.282481188
E01002776,7,11,532784.0120986046,184954.02897271424
E01002777,7,12,533080.4276607813,185048.32488358498
E01002778,7,13,533278.5339364075,184970.92047729177
E01002779,8,11,532602.7806706178,185388.06616046574
E01002780,7,10,532568.6892692033,185100.10407047995
E01002781,8,10,532343.719602942,185330.23517965988
E01002782,8,12,533036.383311838,185277.48726241392
E01002783,7,3,529865.0405295967,185251.87600199637
E01002784,8,2,529659.9432137159,185524.13314190085
E01002785,10,3,530030.4985070521,186206.8244382124
E01002786,10,4,530251.3787831913,185952.56484374093
E01002787,8,3,530040.7366064601,185591.3671095806
E01002788,9,3,529814.8931455873,185877.21764011367
E01002789,9,2,529437.5232726077,185763.0646227519
E01002790,5,7,531512.7990247126,184428.26996022885
E01002791,5,8,531775.736071641,184466.1770771682
E01002792,4,8,531561.3211386799,184089.351121135
E01002793,4,9,531924.5262090254,184074.9935954684
E01002794,3,7,531591.3931909926,183719.71791551937
E01002795,6,7,531357.5628447412,184830.21221066298
E01002796,6,6,531116.0906903796,184727.8564926555
E01002797,4,10,532282.2361085488,184007.81711203774
E01002798,3,11,532439.9607776364,183698.97582132535
E01002799,3,9,532068.7806784817,183821.86546547987
E01002800,3,10,532124.2265401902,183516.74949351302
E01002801,3,8,531807.9022287083,183543.91469317587
E01002802,2,9,531951.9938787316,183272.0209640623
E01002804,14,4,530350.8462386704,187243.60518069408
E01002805,14,6,530773.8171280168,187200.01084732387
E01002806,13,5,530507.8994158109,187098.0699225254
E01002807,13,4,530170.3992909875,186922.49917958467
E01002808,12,4,530498.2123890037,186810.8234549458
E01002809,12,3,530012.1524765994,186721.569334771
E01002810,11,3,530196.3084549122,186535.74449965425
E01002811,14,5,530460.7186745148,187524.1411219669
E01033486,7,7,531096.9180115054,185102.3268247666
E01033487,8,5,530749.6794953012,185255.4416252998
E01033488,7,6,530916.9147613487,185139.9314596193
E01033489,0,8,531804.7149217518,182335.24123106152
E01033490,0,10,531973.0074291613,182116.921630195
E01033491,8,6,531001.5773637929,185592.37356473904
E01033493,10,8,531668.8107425461,185980.3502712034
E01033494,10,7,531488.6031888262,186037.07068884664
E01035651,11,5,530680.8957480831,186341.72895231762
E01035652,10,5,530507.8177131129,186075.51477281822
E01035653,9,7,531284.6906055994,185713.92231835067
E01035654,8,7,531336.9754274735,185431.49088801738
E01035655,2,8,531690.896204193,183204.92600551568
E01035656,2,10,532097.2818741837,183001.57264633896
