code,row,col,x,y
E02000554,10,6,530275.9212668388,187524.51016259543
E02000555,9,5,529642.3957862955,187236.70117200728
E02000556,9,6,530502.6887337405,186922.6986867876
E02000557,8,4,529278.0121016576,186659.39979244748
E02000558,9,7,531063.2176597142,186511.39513439586
E02000559,8,7,531619.6465314415,186207.28485896596
E02000560,8,6,530567.5276083164,186165.05308629695
E02000561,8,5,529695.4063683145,186079.39015010468
E02000562,7,8,532051.3962692862,185631.1430801961
E02000563,7,5,529979.241154017,185536.19894966835
E02000564,7,6,530905.9921044405,185463.79562628976
E02000565,7,9,532864.6430426623,185267.4630576943
E02000566,7,7,531437.0389125561,184992.9577502278
E02000567,6,9,532616.6201624841,184758.98758879263
E02000568,6,6,530439.3026104429,184607.4605762086
E02000569,6,8,531992.464645903,184417.58139189682
E02000570,6,7,531167.2300702652,184100.523588463
E02000571,5,8,532336.3282423834,183810.9248421737
E02000572,5,6,530651.0445554486,183715.73057517773
E02000573,5,7,531675.2101111492,183446.25189111798
E02000574,4,6,530932.3744876188,183077.64106966782
E02000575,4,7,531666.6043552299,182400.32675217703
E02000576,4,8,532516.1008475119,182371.51904804917
