code,row,col,x,y
E01028513,8,8,455417.7026320944,207819.31937020726
E01028514,8,9,455818.10200646805,207828.5784307766
E01028515,7,9,456225.25849646196,207615.69763435522
E01028516,9,7,454756.97036680457,207914.15540483996
E01028517,3,10,456103.15626223176,202908.182524718
E01028518,2,9,455700.30678027595,203077.39515779278
E01028519,2,8,455219.7062723973,203257.62333225596
E01028520,1,8,455686.0954878865,202684.96519547544
E01028521,5,3,451706.38125659234,206530.63810174132
E01028522,5,2,451340.78262300725,205814.2441782442
E01028523,5,7,454389.2051590555,206095.96741728994
E01028524,5,10,455398.6421326473,206106.02008340778
E01028525,5,9,455262.1586309618,205894.56110798827
E01028526,6,6,453722.9459672307,206369.68787256817
E01028527,3,5,453547.77275271696,204264.86551948416
E01028528,3,7,454158.8118870186,204225.40770212913
E01028529,3,8,454697.3930923514,203810.78683836956
E01028530,2,7,454346.080857573,203631.59834866194
E01028531,4,8,454529.0953401144,204917.86965747186
E01028532,4,6,453960.74329196376,205335.0564503877
E01028534,7,6,453886.4620444618,207287.30098775626
E01028535,7,7,454551.85530281527,206785.8856858643
E01028536,6,7,454573.6787992786,206561.28353797304
E01028537,8,7,454308.79028685344,207612.63295904317
E01028538,9,6,453774.3788268959,208185.18492914413
E01028539,8,6,453355.5943368401,207934.43677344348
E01028540,7,5,453268.47369461163,207077.8952983933
E01028541,2,2,451339.96718720515,204848.6839197772
E01028542,2,3,452017.3559950929,204046.68369018682
E01028543,4,2,451065.944193581,205446.86552166872
E01028544,3,2,451496.944775628,205296.4427892363
E01028545,3,3,452360.4632089032,205038.597876968
E01028546,2,4,452956.5237149544,204577.2676697186
E01028547,3,4,453131.086357425,205042.71099274218
E01028548,6,1,449281.48265367217,207526.77325101828
E01028549,4,1,450303.1845263054,205713.4038990135
E01028551,5,1,450320.68722958304,206657.95456303438
E01028552,0,6,454334.56827272056,202596.3434770866
E01028553,0,5,453714.81824570935,202451.35326462562
E01028554,2,6,453961.70444070507,203393.3046831797
E01028555,1,6,454379.8701546793,203114.11908629836
E01028556,4,9,455423.9094198113,205233.43621837543
E01028557,4,10,455820.31939278264,204154.2986027355
E01028558,3,9,454963.8348971519,204299.85304362501
E01028559,5,8,454906.9036220532,205593.1525683824
E01028560,9,5,452203.9987823652,208965.0248140878
E01028561,8,5,453124.50751252414,208388.47180511188
E01028562,7,4,452312.77661691536,207800.41438972842
E01028563,6,4,452480.2339444872,207166.23691644517
E01028565,6,2,450456.1034956984,207602.74446440663
E01028567,1,7,454831.57311144593,202791.65661648315
E01028568,0,7,455198.6582075436,202353.90234956812
E01028569,1,9,455875.12224343285,202378.33528531223
E01028570,0,8,455717.10788753326,202118.9405054133
E01028571,6,9,455600.25545990246,206631.44717648986
E01028572,6,10,456119.0092381296,207211.1834828866
E01028573,6,8,454993.16621888813,207023.8382141492
E01028574,7,8,455427.7672198433,207191.12101798356
E01028575,1,3,452883.7392824128,203815.6993788009
E01028576,1,5,453483.65908926044,203248.1486174628
E01028577,1,4,452988.8402154772,203162.98865001646
E01028578,2,5,453609.9489056539,203735.6369661298
E01028579,5,5,453157.29688500427,205661.81460969627
E01028580,6,5,452983.72387637116,206018.71775144525
E01028581,5,6,453500.61504162714,205801.47579959882
E01028582,5,4,452610.00953913067,206193.40548213397
E01028584,7,2,450392.1945632861,208232.24072839637
E01028586,4,4,452607.61055746925,205343.94377636097
E01028587,4,5,452984.03884143254,205354.96457777734
E01028588,4,3,452404.4454545372,205681.94588836603
E01028591,8,3,451123.9598937754,209271.43785532902
E01028592,7,1,450167.69549961155,208920.67360141952
E01028594,9,2,449912.16337891185,210538.51112281362
E01028595,8,1,448910.30256115395,209505.8183821307
E01028596,8,2,449865.86750444584,209793.74759988821
E01028597,10,4,450993.7963432596,210450.1715749242
E01032554,9,3,450710.9181713796,209683.41138691545
E01032555,9,4,450964.65043242445,210030.00962530627
E01035740,8,4,451263.36679121695,208501.06078172702
E01035741,7,3,451278.11333838536,207539.92332070018
E01035742,6,3,450741.206236099,207134.54496587333
E01035743,3,6,453735.50925747585,204688.49484904387
E01035744,4,7,454171.8615512234,204558.57644484137
